[2022-04-28T22:07:06]  El campista N3 descansa en la zona común
[2022-04-28T22:07:06]  El campista N1 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N1 descansa en la zona común
[2022-04-28T22:07:06]  El campista N4 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N4 descansa en la zona común
[2022-04-28T22:07:06]  El campista N14 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N14 descansa en la zona común
[2022-04-28T22:07:06]  El campista N2 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N2 descansa en la zona común
[2022-04-28T22:07:06]  El campista N6 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N6 descansa en la zona común
[2022-04-28T22:07:06]  El campista N15 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N15 descansa en la zona común
[2022-04-28T22:07:06]  El monitor M4 espera campistas en la soga
[2022-04-28T22:07:06]  El campista N5 abandona la actividad de soga
[2022-04-28T22:07:06]  El campista N5 descansa en la zona común
[2022-04-28T22:07:07]  El campista N12 se baja de la tirolina
[2022-04-28T22:07:07]  El campista N12 descansa en la zona común
[2022-04-28T22:07:07]  El monitor M2 prepara a un campista
[2022-04-28T22:07:07]  El campista N11 sale de la zona común
[2022-04-28T22:07:07]  El campista N11 elige competir en la soga
[2022-04-28T22:07:07]  El campista N11 espera para competir en la soga
[2022-04-28T22:07:08]  El campista N17 ha llegado al campamento
[2022-04-28T22:07:08]  El campista N17 se sitúa en la entrada A
[2022-04-28T22:07:08]  El campista N17 ha entrado (A) dentro del campamento 
[2022-04-28T22:07:08]  El campista N17 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:07:08]  El campista N17 elige competir en la soga
[2022-04-28T22:07:08]  El campista N17 espera para competir en la soga
[2022-04-28T22:07:08]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:07:08]  El campista N10 se tira por la tirolina!
[2022-04-28T22:07:08]  El monitor M1 ha preparado la merienda Bandeja21
[2022-04-28T22:07:08]  El monitor M1 empieza a preparar la merienda Bandeja23
[2022-04-28T22:07:09]  El campista N8 deja la bandeja Bandeja1
[2022-04-28T22:07:09]  El campista N8 descansa en la zona común
[2022-04-28T22:07:10]  El monitor M3 ha preparado la merienda Bandeja22
[2022-04-28T22:07:10]  El monitor M3 empieza a preparar la merienda Bandeja24
[2022-04-28T22:07:11]  El campista N10 se baja de la tirolina
[2022-04-28T22:07:11]  El campista N10 descansa en la zona común
[2022-04-28T22:07:11]  El monitor M2 prepara a un campista
[2022-04-28T22:07:11]  El campista N7 sale de la zona común
[2022-04-28T22:07:11]  El campista N7 elige competir en la soga
[2022-04-28T22:07:11]  El campista N7 espera para competir en la soga
[2022-04-28T22:07:12]  El campista N3 sale de la zona común
[2022-04-28T22:07:12]  El campista N3 elige tirarse por la tirolina
[2022-04-28T22:07:12]  El campista N3 se ha puesto a la cola de la tirolina
[2022-04-28T22:07:12]  El campista N9 sale de la zona común
[2022-04-28T22:07:12]  El campista N9 se dispone a merendar
[2022-04-28T22:07:12]  El campista N9 coge la merienda Bandeja4
[2022-04-28T22:07:12]  El campista N2 sale de la zona común
[2022-04-28T22:07:12]  El campista N2 se dispone a merendar
[2022-04-28T22:07:12]  El campista N2 coge la merienda Bandeja3
[2022-04-28T22:07:12]  El campista N6 sale de la zona común
[2022-04-28T22:07:12]  El campista N6 elige tirarse por la tirolina
[2022-04-28T22:07:12]  El campista N6 se ha puesto a la cola de la tirolina
[2022-04-28T22:07:12]  El campista N18 ha llegado al campamento
[2022-04-28T22:07:12]  El campista N18 se sitúa en la entrada A
[2022-04-28T22:07:12]  El campista N18 ha entrado (A) dentro del campamento 
[2022-04-28T22:07:12]  El campista N18 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:07:12]  El campista N18 elige competir en la soga
[2022-04-28T22:07:12]  El campista N18 espera para competir en la soga
[2022-04-28T22:07:12]  El campista N14 sale de la zona común
[2022-04-28T22:07:12]  El campista N14 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:07:12]  El campista N14 elige competir en la soga
[2022-04-28T22:07:12]  El campista N14 espera para competir en la soga
[2022-04-28T22:07:12]  El campista N12 sale de la zona común
[2022-04-28T22:07:12]  El campista N12 elige competir en la soga
[2022-04-28T22:07:12]  El campista N12 espera para competir en la soga
[2022-04-28T22:07:12]  El campista N4 sale de la zona común
[2022-04-28T22:07:12]  El campista N4 se dispone a merendar
[2022-04-28T22:07:12]  El campista N4 coge la merienda Bandeja5
[2022-04-28T22:07:12]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:07:12]  El campista N13 se tira por la tirolina!
[2022-04-28T22:07:12]  El campista N15 sale de la zona común
[2022-04-28T22:07:12]  El campista N15 elige tirarse por la tirolina
[2022-04-28T22:07:12]  El campista N15 se ha puesto a la cola de la tirolina
[2022-04-28T22:07:12]  El campista N1 sale de la zona común
[2022-04-28T22:07:12]  El campista N1 elige competir en la soga
[2022-04-28T22:07:12]  El campista N1 espera para competir en la soga
[2022-04-28T22:07:12]  El campista N5 sale de la zona común
[2022-04-28T22:07:12]  El campista N5 se dispone a merendar
